"OysterID","Date","Section","StationName","Station","TotalWeight","TarePanWeight","TissueWetWeight","ShellWetWeight","TissueDryWeight","ShellDryWeight","FinalTissueWt","CI","Temperature","Salinity","DO","pH","Group","Year","YearF","GroupYear","pre.post","pre.post.group","GYD"
"ABWC2312-13",2023-12-04,"W","Cabbage Top",2,"206.26",0.98,"18.68","166.5",3.44,146.47,2.46,1.67952481736874,16.85,19.365,8.525,8.07,"West Section",2023,"2023","West Section.2023","Post-closure","Post-closure.West Section","West Section.2023.2023-12-04"
"ABWC2312-22",2023-12-04,"W","Cabbage Top",2,"79.25",1,"10.08","65.86",3.18,61.74,2.18,3.53093618399741,16.85,19.365,8.525,8.07,"West Section",2023,"2023","West Section.2023","Post-closure","Post-closure.West Section","West Section.2023.2023-12-04"
"ABWC2312-10",2023-12-04,"W","Cabbage Top",2,"64.12",0.98,"7.21","55.32",2.64,52.37,1.66,3.16975367576857,16.85,19.365,8.525,8.07,"West Section",2023,"2023","West Section.2023","Post-closure","Post-closure.West Section","West Section.2023.2023-12-04"
"ABWC2312-03",2023-12-04,"W","Cabbage Top",2,"108.44",1.01,"11.34","91.91",3.16,85.01,2.15,2.52911422185625,16.85,19.365,8.525,8.07,"West Section",2023,"2023","West Section.2023","Post-closure","Post-closure.West Section","West Section.2023.2023-12-04"
"ABWC2312-16",2023-12-04,"W","Cabbage Top",2,"79.33",1,"10.37","64.37",3.26,61.78,2.26,3.65814179346067,16.85,19.365,8.525,8.07,"West Section",2023,"2023","West Section.2023","Post-closure","Post-closure.West Section","West Section.2023.2023-12-04"
"ABWC2312-01",2023-12-04,"W","Cabbage Top",2,"81",1.04,"8.19","69.37",2.28,64.74,1.24,1.91535372258264,16.85,19.365,8.525,8.07,"West Section",2023,"2023","West Section.2023","Post-closure","Post-closure.West Section","West Section.2023.2023-12-04"
"ABWC2312-08",2023-12-04,"W","Cabbage Top",2,"84.08",1.02,"11.27","67.68",3.18,64.52,2.16,3.34779913205208,16.85,19.365,8.525,8.07,"West Section",2023,"2023","West Section.2023","Post-closure","Post-closure.West Section","West Section.2023.2023-12-04"
"ABWC2312-20",2023-12-04,"W","Cabbage Top",2,"76.06",1,"9.66","62.22",2.99,57.64,1.99,3.45246356696738,16.85,19.365,8.525,8.07,"West Section",2023,"2023","West Section.2023","Post-closure","Post-closure.West Section","West Section.2023.2023-12-04"
"ABWC2312-19",2023-12-04,"W","Cabbage Top",2,"119.02",0.95,"12.77","100.1",3.37,93.32,2.42,2.59322760394342,16.85,19.365,8.525,8.07,"West Section",2023,"2023","West Section.2023","Post-closure","Post-closure.West Section","West Section.2023.2023-12-04"
"ABWC2312-05",2023-12-04,"W","Cabbage Top",2,"259.7",1.02,"27.37","214.23",6.73,197.57,5.71,2.89011489598623,16.85,19.365,8.525,8.07,"West Section",2023,"2023","West Section.2023","Post-closure","Post-closure.West Section","West Section.2023.2023-12-04"
"ABWC2312-14",2023-12-04,"W","Cabbage Top",2,"307.8",1.02,"29.3","256.7",7.28,242.3,6.26,2.58357408171688,16.85,19.365,8.525,8.07,"West Section",2023,"2023","West Section.2023","Post-closure","Post-closure.West Section","West Section.2023.2023-12-04"
"ABWC2312-21",2023-12-04,"W","Cabbage Top",2,"250.5",1.02,"27.29","194.97",5,181.65,3.98,2.19102669969722,16.85,19.365,8.525,8.07,"West Section",2023,"2023","West Section.2023","Post-closure","Post-closure.West Section","West Section.2023.2023-12-04"
"ABWC2312-11",2023-12-04,"W","Cabbage Top",2,"93.39",0.98,"10.58","78.7",3.11,74.41,2.13,2.8625184786991,16.85,19.365,8.525,8.07,"West Section",2023,"2023","West Section.2023","Post-closure","Post-closure.West Section","West Section.2023.2023-12-04"
"ABWC2312-24",2023-12-04,"W","Cabbage Top",2,"143.73",1,"21.6","110.76",4.64,100.7,3.64,3.61469712015889,16.85,19.365,8.525,8.07,"West Section",2023,"2023","West Section.2023","Post-closure","Post-closure.West Section","West Section.2023.2023-12-04"
"ABWC2312-04",2023-12-04,"W","Cabbage Top",2,"145.74",1.02,"17.49","114.73",4.46,107.26,3.44,3.20716017154578,16.85,19.365,8.525,8.07,"West Section",2023,"2023","West Section.2023","Post-closure","Post-closure.West Section","West Section.2023.2023-12-04"
"ABWC2312-17",2023-12-04,"W","Cabbage Top",2,"316.3",1.02,"33.66","258.6",8.49,241.3,7.47,3.0957314546208,16.85,19.365,8.525,8.07,"West Section",2023,"2023","West Section.2023","Post-closure","Post-closure.West Section","West Section.2023.2023-12-04"
"ABWC2312-15",2023-12-04,"W","Cabbage Top",2,"282.2",1.03,"27.92","234.8",6.35,208,5.32,2.55769230769231,16.85,19.365,8.525,8.07,"West Section",2023,"2023","West Section.2023","Post-closure","Post-closure.West Section","West Section.2023.2023-12-04"
"ABWC2312-07",2023-12-04,"W","Cabbage Top",2,"128.17",0.94,"13.52","109.26",3.45,99.63,2.51,2.51932148951119,16.85,19.365,8.525,8.07,"West Section",2023,"2023","West Section.2023","Post-closure","Post-closure.West Section","West Section.2023.2023-12-04"
