"OysterID","Date","Section","StationName","Station","ShellHeight","ShellLength","ShellWidth","TotalWeight","TarePanWeight","TissueWetWeight","ShellWetWeight","TissueDryWeight","ShellDryWeight"
"ABWC2312-13",2023-12-04,"W","Cabbage Top",2,80.94,64.86,47.04,206.26,0.98,18.68,166.5,3.44,146.47
"ABWC2312-22",2023-12-04,"W","Cabbage Top",2,68.13,56.65,29.71,79.25,1,10.08,65.86,3.18,61.74
"ABWC2312-10",2023-12-04,"W","Cabbage Top",2,55.35,43.11,34.37,64.12,0.98,7.21,55.32,2.64,52.37
"ABWC2312-03",2023-12-04,"W","Cabbage Top",2,70.18,45.82,38.37,108.44,1.01,11.34,91.91,3.16,85.01
"ABWC2312-16",2023-12-04,"W","Cabbage Top",2,65.1,57.19,29.32,79.33,1,10.37,64.37,3.26,61.78
"ABWC2312-01",2023-12-04,"W","Cabbage Top",2,68.75,61.44,31.44,81,1.04,8.19,69.37,2.28,64.74
"ABWC2312-08",2023-12-04,"W","Cabbage Top",2,74.08,55.81,30.8,84.08,1.02,11.27,67.68,3.18,64.52
"ABWC2312-20",2023-12-04,"W","Cabbage Top",2,62.99,54.11,32.79,76.06,1,9.66,62.22,2.99,57.64
"ABWC2312-19",2023-12-04,"W","Cabbage Top",2,75.32,62.05,41.02,119.02,0.95,12.77,100.1,3.37,93.32
"ABWC2312-05",2023-12-04,"W","Cabbage Top",2,105.73,75.16,42.1,259.7,1.02,27.37,214.23,6.73,197.57
"ABWC2312-14",2023-12-04,"W","Cabbage Top",2,111.88,74.77,54.9,307.8,1.02,29.3,256.7,7.28,242.3
"ABWC2312-21",2023-12-04,"W","Cabbage Top",2,102.27,73.81,51,250.5,1.02,27.29,194.97,5,181.65
"ABWC2312-11",2023-12-04,"W","Cabbage Top",2,63.54,61.81,33.7,93.39,0.98,10.58,78.7,3.11,74.41
"ABWC2312-24",2023-12-04,"W","Cabbage Top",2,85.51,57.9,35.17,143.73,1,21.6,110.76,4.64,100.7
"ABWC2312-04",2023-12-04,"W","Cabbage Top",2,82.69,65.96,45.9,145.74,1.02,17.49,114.73,4.46,107.26
"ABWC2312-17",2023-12-04,"W","Cabbage Top",2,111.88,77.61,46.7,316.3,1.02,33.66,258.6,8.49,241.3
"ABWC2312-15",2023-12-04,"W","Cabbage Top",2,104.66,81.51,44.25,282.2,1.03,27.92,234.8,6.35,208
"ABWC2312-07",2023-12-04,"W","Cabbage Top",2,92.22,67.1,23.37,128.17,0.94,13.52,109.26,3.45,99.63
"ABWC2312-25",2023-12-04,"W","Cabbage Top",2,100.4,68.84,48.83,242.7,0.97,21.41,199.45,4.81,178.71
"ABWC2312-02",2023-12-04,"W","Cabbage Top",2,91.99,64.54,46.44,172.54,1.02,19.78,143.08,5.01,131.56
"ABWC2312-12",2023-12-04,"W","Cabbage Top",2,66.61,60.78,28.32,87.83,1,9.11,77.7,2.68,73.41
"ABWC2312-09",2023-12-04,"W","Cabbage Top",2,67.97,47.89,34.52,79.93,1.01,11.9,63.06,3.61,58.46
"ABWC2312-23",2023-12-04,"W","Cabbage Top",2,86.2,61.28,42.14,155.8,1,20.06,129.37,4.91,121.07
"ABWC2312-18",2023-12-04,"W","Cabbage Top",2,106.81,74.82,46.48,313,1.02,29.12,258.8,6.17,237.7
"ABWC2312-06",2023-12-04,"W","Cabbage Top",2,80.89,63.63,34.66,128.14,0.96,16.43,103.6,4.69,98.22
"ABEC2312-25",2023-12-04,"E","Easthole",12,68.31,43.39,26.35,55.7,1,6.89,44.66,2.13,43.56
"ABEC2312-22",2023-12-04,"E","Easthole",12,85.53,53.44,32.19,88.17,1,21.02,66.17,3.6,63.12
"ABEC2312-14",2023-12-04,"E","Easthole",12,60.78,38.72,29.46,39.36,1,6.12,32.15,1.75,28.46
"ABEC2312-15",2023-12-04,"E","Easthole",12,54.06,54.29,29.59,59.73,0.96,6.17,50.21,1.79,48.62
"ABEC2312-24",2023-12-04,"E","Easthole",12,62.41,48.16,26.63,66.03,1.01,7.92,54.79,1.76,53.78
"ABEC2312-18",2023-12-04,"E","Easthole",12,86.23,61.14,40.59,123.26,1.01,14.52,106.63,3.31,94.21
"ABEC2312-21",2023-12-04,"E","Easthole",12,77.12,53.81,33.89,81.65,1,11.76,67.74,2.2,64.45
"ABEC2312-23",2023-12-04,"E","Easthole",12,65.36,53.8,27.32,73.74,1.01,10.58,62.62,2.56,61.51
