"Estuary","SampleEvent","Date","Section","StationName","Station","Temperature","Salinity","DissolvedOxygen","pH","Depth","SampleDepth","Secchi","TurbidityYSI","TurbidityHach"
"AB","COLL",2021-05-10,"E","Cat Point",11,24.9,4.5,6.97,NA,1.5,NA,0.5,NA,NA
"AB","COLL",2021-05-10,"E","Easthole",12,24.6,10.88,7.81,NA,1.5,NA,0.5,NA,NA
"AB","COLL",2021-05-10,"E","Bulkhead",15,24.8,3.62,8.43,NA,2,NA,0.5,NA,NA
"AB","COLL",2021-06-02,"W","Paradise Flats",1,26.1,12.77,8.68,NA,1.5,NA,1,NA,NA
"AB","COLL",2021-06-02,"W","Cabbage Top",2,26.4,11.13,8.52,NA,1.5,NA,1,NA,NA
"AB","COLL",2021-06-02,"W","Dry Bar North",3,26.8,14.7,8.04,NA,2,NA,1,NA,NA
"AB","COLL",2021-06-02,"W","Green Point",4,27.2,15.18,8.2,NA,2.25,NA,1,NA,NA
"AB","COLL",2021-06-02,"W","Eleven Mile",5,26.5,17.13,7.41,NA,1.5,NA,0.5,NA,NA
"AB","COLL",2021-06-02,"C","Halfmoon",6,28.8,18.91,NA,NA,2.5,NA,1,NA,NA
"AB","COLL",2021-06-02,"C","Lighthouse",7,27.8,25.97,7.28,NA,2,NA,1,NA,NA
"AB","COLL",2021-06-02,"C","Normans",8,27,21.83,7.66,NA,2.75,NA,1,NA,NA
"AB","COLL",2021-06-02,"C","Hotel",9,26.9,25.75,7.2,NA,1.75,NA,1.5,NA,NA
"AB","COLL",2021-06-02,"C","East Lumps",10,27.6,27.29,7.5,NA,2.25,NA,1.5,NA,NA
"AB","COLL",2021-06-02,"E","Cat Point",11,27.6,27.74,7,NA,1.5,NA,1.25,NA,NA
"AB","COLL",2021-06-02,"E","Easthole",12,27.2,27.42,6.8,NA,1.5,NA,1,NA,NA
"AB","COLL",2021-06-02,"E","Platform",13,27.4,29.26,7.29,NA,1.75,NA,1.75,NA,NA
"AB","COLL",2021-06-02,"E","Porters",14,27.4,28.6,7.32,NA,2,NA,2,NA,NA
"AB","COLL",2021-06-02,"E","Bulkhead",15,26.9,23.52,NA,NA,2,NA,1.25,NA,NA
"AB","COLL",2021-07-01,"W","Paradise Flats",1,26.6,8.12,6.78,NA,1.75,NA,0.5,NA,NA
"AB","COLL",2021-07-01,"W","Cabbage Top",2,26.5,8.69,7.14,NA,1.5,NA,0.75,NA,NA
"AB","COLL",2021-07-01,"C","Halfmoon",6,27.7,3.85,6.56,NA,2.5,NA,0.75,NA,NA
"AB","COLL",2021-07-01,"C","Lighthouse",7,27.7,28.35,6.16,NA,2,NA,0.5,NA,NA
"AB","COLL",2021-07-01,"C","Hotel",9,27.4,30.98,6.22,NA,1.75,NA,1,NA,NA
"AB","COLL",2021-07-01,"E","Cat Point",11,27.8,28.98,6,NA,1.75,NA,0.75,NA,NA
"AB","COLL",2021-07-01,"E","Easthole",12,27.7,30.92,6,NA,1.5,NA,1,NA,NA
"AB","COLL",2021-07-01,"E","Bulkhead",15,27.9,30.14,6.75,NA,2,NA,1,NA,NA
"AB","COLL",2021-08-02,"W","Paradise Flats",1,31.7,24.96,6.33,NA,1.25,NA,0.5,NA,NA
"AB","COLL",2021-08-02,"W","Cabbage Top",2,30.8,22.06,NA,NA,1.25,NA,1,NA,NA
"AB","COLL",2021-08-02,"C","Halfmoon",6,31,19.38,NA,NA,2.5,NA,0.75,NA,NA
"AB","COLL",2021-08-02,"C","Lighthouse",7,30.8,17.85,NA,NA,2,NA,0.75,NA,NA
"AB","COLL",2021-08-02,"C","Hotel",9,30.6,19.14,6.76,NA,1.75,NA,1,NA,NA
"AB","COLL",2021-08-02,"E","Cat Point",11,30.5,18.63,2.13,NA,1.75,NA,1,NA,NA
"AB","COLL",2021-08-02,"E","Easthole",12,30.5,14.93,6.88,NA,1.5,NA,1,NA,NA
"AB","COLL",2021-08-02,"E","Bulkhead",15,30.3,13.86,7.15,NA,2,NA,1,NA,NA
"AB","COLL",2021-09-07,"W","Paradise Flats",1,30,10,7.25,NA,2,NA,1,NA,NA
"AB","COLL",2021-09-07,"W","Cabbage Top",2,29.7,9.6,6.97,NA,1.75,NA,0.75,NA,NA
"AB","COLL",2021-09-07,"C","Halfmoon",6,29.3,16,3.81,NA,1.5,NA,0.75,NA,NA
"AB","COLL",2021-09-07,"C","Lighthouse",7,29.2,5.2,5.61,NA,2,NA,0.75,NA,NA
"AB","COLL",2021-09-07,"C","Hotel",9,29,19.8,4.2,NA,1.5,NA,1,NA,NA
"AB","COLL",2021-09-07,"E","Cat Point",11,29.3,11.9,5.1,NA,1.75,NA,0.75,NA,NA
"AB","COLL",2021-09-07,"E","Easthole",12,29.2,16.6,4.9,NA,1.5,NA,1,NA,NA
"AB","COLL",2021-09-07,"E","Bulkhead",15,29.2,14.4,5.12,NA,2,NA,0.75,NA,NA
"AB","COLL",2016-01-11,"W","Paradise Flats",1,11.9,0.34,10.3,7.38,1,NA,0.25,NA,NA
"AB","COLL",2016-01-11,"W","Paradise Flats",1,11.6,0.66,10.25,7.22,1,NA,0.25,NA,NA
"AB","COLL",2016-01-11,"W","Cabbage Top",2,12.1,0.12,10.26,7.58,1.5,NA,0.25,NA,NA
"AB","COLL",2016-01-11,"W","Dry Bar North",3,12.3,0.57,9.94,7.22,2,NA,0.25,NA,NA
"AB","COLL",2016-01-11,"W","Green Point",4,11.9,0.54,9.87,7.23,1.5,NA,0.25,NA,NA
"AB","COLL",2016-01-11,"W","Eleven Mile",5,12.2,0.36,10.35,8.1,1.25,NA,0.25,NA,NA
"AB","COLL",2016-01-11,"C","Halfmoon",6,13.6,0.04,8.72,7.71,2,NA,0.25,NA,NA
"AB","COLL",2016-01-11,"C","Lighthouse",7,12.9,0.04,8.81,7.57,1.75,NA,0.25,NA,NA
"AB","COLL",2016-01-11,"C","Normans",8,13,0.24,8.88,7.43,2.5,NA,0.5,NA,NA
"AB","COLL",2016-01-11,"C","Hotel",9,12.6,0.75,9.69,7.2,1.75,NA,0.25,NA,NA
"AB","COLL",2016-01-11,"C","East Lumps",10,12.8,0.04,9.33,7.55,2,NA,0.25,NA,NA
"AB","COLL",2016-01-11,"E","Cat Point",11,11.9,0.05,9.44,7.72,1.25,NA,0.25,NA,NA
"AB","COLL",2016-01-11,"E","Easthole",12,12.7,0.96,10,7.14,1.25,NA,0.25,NA,NA
"AB","COLL",2016-01-11,"E","Platform",13,12.7,0.76,9.75,7.19,0.75,NA,0.25,NA,NA
"AB","COLL",2016-01-11,"E","Porters",14,12.7,0.17,9.64,7.49,1.5,NA,0.25,NA,NA
"AB","COLL",2016-01-11,"E","Bulkhead",15,12.5,0.06,9.58,7.66,1.5,NA,0.25,NA,NA
"AB","COLL",2016-02-07,"W","Paradise Flats",1,12.6,5.8,11.96,8.41,0.75,NA,0.25,NA,NA
"AB","COLL",2016-02-07,"W","Cabbage Top",2,12.1,6.38,11.06,8.01,1.5,NA,1,NA,NA
"AB","COLL",2016-02-07,"W","Dry Bar North",3,12.3,5.39,10.54,7.69,1,NA,0.75,NA,NA
"AB","COLL",2016-02-07,"W","Green Point",4,12.2,7.8,11.83,8.25,1.75,NA,1,NA,NA
"AB","COLL",2016-02-07,"W","Eleven Mile",5,12.8,9.71,11.34,8.25,1.25,NA,0.5,NA,NA
"AB","COLL",2016-02-07,"C","Halfmoon",6,12.1,0.05,9.78,7.9,1.5,NA,0.5,NA,NA
"AB","COLL",2016-02-07,"C","Lighthouse",7,12.1,1.95,9.73,7.68,1.25,NA,0.5,NA,NA
"AB","COLL",2016-02-07,"C","Normans",8,11.1,2.54,10.36,8.07,2,NA,0.5,NA,NA
"AB","COLL",2016-02-07,"C","Hotel",9,11,4.85,10.41,7.6,1.5,NA,0.75,NA,NA
"AB","COLL",2016-02-07,"C","East Lumps",10,11.5,1.6,10.27,7.72,2,NA,0.5,NA,NA
"AB","COLL",2016-02-07,"E","Cat Point",11,11.6,3.59,9.62,7.5,1,NA,0.5,NA,NA
"AB","COLL",2016-02-07,"E","Easthole",12,11,4.16,10.35,7.44,1,NA,0.75,NA,NA
"AB","COLL",2016-02-07,"E","Platform",13,11.4,6.05,10.32,7.53,0.5,NA,0.5,NA,NA
"AB","COLL",2016-02-07,"E","Porters",14,11.5,6.52,10.46,7.48,2,NA,0.75,NA,NA
"AB","COLL",2016-02-07,"E","Bulkhead",15,11.1,2.5,9.92,7.53,2.5,NA,0.5,NA,NA
"AB","COLL",2016-03-06,"W","Paradise Flats",1,17.5,7.86,10.38,8.19,1,NA,0.25,NA,NA
"AB","COLL",2016-03-06,"W","Cabbage Top",2,17.3,6.91,10.75,8.21,1.5,NA,0.75,NA,NA
"AB","COLL",2016-03-06,"W","Dry Bar North",3,17.3,11.24,10.01,8.09,1.75,NA,1.25,NA,NA
"AB","COLL",2016-03-06,"W","Green Point",4,18,7.19,10.3,8.07,2,NA,1.25,NA,NA
"AB","COLL",2016-03-06,"W","Eleven Mile",5,18.5,11.81,10.11,8.16,1.5,NA,0.5,NA,NA
"AB","COLL",2016-03-06,"C","Halfmoon",6,15.8,0.05,9,8.5,1.5,NA,0.25,NA,NA
"AB","COLL",2016-03-06,"C","Lighthouse",7,16.4,5.72,8.45,7.61,1.75,NA,0.5,NA,NA
