,OysterID,SampleEventID,ShellHeight,ShellLength,ShellWidth,TotalWeight,TarePanWeight,TissueWetWeight,ShellWetWeight,TissueDryWeight,ShellDryWeight,OldSampleNumber,Comments
8943,ABWC2312-13,ABCOLL_20231204_1_0158_1,80.94,64.86,47.04,206.26,0.98,18.68,166.5,3.44,146.47,NA,NA
8944,ABWC2312-22,ABCOLL_20231204_1_0158_1,68.13,56.65,29.71,79.25,1,10.08,65.86,3.18,61.74,NA,NA
8948,ABWC2312-10,ABCOLL_20231204_1_0158_1,55.35,43.11,34.37,64.12,0.98,7.21,55.32,2.64,52.37,NA,NA
8950,ABWC2312-03,ABCOLL_20231204_1_0158_1,70.18,45.82,38.37,108.44,1.01,11.34,91.91,3.16,85.01,NA,NA
8952,ABWC2312-16,ABCOLL_20231204_1_0158_1,65.1,57.19,29.32,79.33,1,10.37,64.37,3.26,61.78,NA,NA
8955,ABWC2312-01,ABCOLL_20231204_1_0158_1,68.75,61.44,31.44,81,1.04,8.19,69.37,2.28,64.74,NA,NA
8957,ABWC2312-08,ABCOLL_20231204_1_0158_1,74.08,55.81,30.8,84.08,1.02,11.27,67.68,3.18,64.52,NA,NA
8960,ABWC2312-20,ABCOLL_20231204_1_0158_1,62.99,54.11,32.79,76.06,1,9.66,62.22,2.99,57.64,NA,NA
8963,ABWC2312-19,ABCOLL_20231204_1_0158_1,75.32,62.05,41.02,119.02,0.95,12.77,100.1,3.37,93.32,NA,NA
8968,ABWC2312-05,ABCOLL_20231204_1_0158_1,105.73,75.16,42.1,259.7,1.02,27.37,214.23,6.73,197.57,NA,TotalWeight outside expected range
8971,ABWC2312-14,ABCOLL_20231204_1_0158_1,111.88,74.77,54.9,307.8,1.02,29.3,256.7,7.28,242.3,NA,ShellWidth and TotalWeight outside expected range
8975,ABWC2312-21,ABCOLL_20231204_1_0158_1,102.27,73.81,51,250.5,1.02,27.29,194.97,5,181.65,NA,ShellWidth and TotalWeight outside expected range
13,TBBC1707-04,TBCOLL_20170718_1_0277_1,46,31.5,9.2,9.8,0.97,3.16,6.36,1.25,5.92,TB-B-2449,
14,TBBC1707-05,TBCOLL_20170718_1_0277_1,38.9,28.7,15.3,15.56,0.97,3.69,11.18,1.26,10.39,TB-B-2450,",Polydora Internal Bottom 1"
15,TBMC1707-01,TBCOLL_20170718_1_0291_1,62.8,39.2,16.1,31.1,0.94,6.55,22.43,1.73,19.25,TB-M-2451,"Polydora Internal Top 2,Polydora Internal Bottom 1,Cliona Top Present,Cliona Bottom Present,Polydora Esternal Top 12,Polydora Exal Bottom 4"
16,TBMC1707-02,TBCOLL_20170718_1_0291_1,57.2,38.4,12.9,23.55,0.94,4.62,17.09,1.5,14.77,TB-M-2452,"Polydora Internal Top 4,Polydora Internal Bottom 2,Cliona Top Present,Cliona Bottom Present,Polydora Esternal Top 16,Polydora Exal Bottom 2"
17,TBMC1707-03,TBCOLL_20170718_1_0291_1,46.8,37.5,11.3,17.57,0.99,4.18,13.14,1.38,11.14,TB-M-2453,"Polydora Internal Top 5,Cliona Top Present,Cliona Bottom Present,Polydora Esternal Top 15,Polydora Exal Bottom 9"
18,TBMC1707-04,TBCOLL_20170718_1_0291_1,51.8,34.5,18.9,23.18,0.96,4.87,16.44,1.48,14.55,TB-M-2454,"Polydora Internal Top 4,Polydora Internal Bottom 2,Cliona Top Present,Cliona Bottom Present,Polydora Esternal Top 18,Polydora Exal Bottom 17"
