,FixedLocationID,Estuary,SectionName,StationName,StationNumber,ParcelName,ParcelArea,CultchDensity,LatitudeDec,LongitudeDec,Recruitment,Survey,Sediment,Collections,ShellBudget,Dataloggers,Cage,Wave,StartDate,EndDate,Comments,StationNameNumber,EstuaryLongName,DateLastCultched
1,0531,AB,E,RESTORE Cat Point,531,NA,NA,NA,29.71591,-84.88411,N,N,N,N,N,N,N,N,10/1/2023,12/31/2099,Supplemental Survey RESTORE sites,RESTORE Cat Point,Apalachicola Bay,11/30/2017
2,0532,AB,E,RESTORE Monkey's Elbow,532,NA,NA,NA,29.70237,-84.88292,N,N,N,N,N,N,N,N,10/1/2023,12/31/2099,Supplemental Survey RESTORE sites,RESTORE Monkey's Elbow,Apalachicola Bay,11/30/2017
3,0533,AB,E,RESTORE Peanut Ridge,533,NA,NA,NA,29.70502,-84.87302,N,N,N,N,N,N,N,N,10/1/2023,12/31/2099,Supplemental Survey RESTORE sites,RESTORE Peanut Ridge,Apalachicola Bay,11/30/2017
4,0534,AB,E,RESTORE East Bulkhead,534,NA,NA,NA,29.68807,-84.8735,N,N,N,N,N,N,N,N,10/1/2023,12/31/2099,Supplemental Survey RESTORE sites,RESTORE East Bulkhead,Apalachicola Bay,11/30/2017
5,0535,AB,E,RESTORE Easthole,535,NA,NA,NA,29.68177,-84.86934,N,N,N,N,N,N,N,N,10/1/2023,12/31/2099,Supplemental Survey RESTORE sites,RESTORE Easthole,Apalachicola Bay,11/30/2017
6,0536,AB,E,RESTORE Cat Point Spur,536,NA,NA,NA,29.70229,-84.8571,N,N,N,N,N,N,N,N,10/1/2023,12/31/2099,Supplemental Survey RESTORE sites,RESTORE Cat Point Spur,Apalachicola Bay,11/30/2017
7,0537,AB,E,RESTORE North Platform,537,NA,NA,NA,29.70769,-84.84874,N,N,N,N,N,N,N,N,10/1/2023,12/31/2099,Supplemental Survey RESTORE sites,RESTORE North Platform,Apalachicola Bay,11/30/2017
8,C021,CR,W,CR W 26362_82030 30,30,NA,NA,NA,26.60476,-82.05074,N,Y,N,N,N,N,N,N,9/30/2023,11/1/2023,26362_82030,CR-W-26362_82030-30,Caloosahatchee River,NA
9,C022,CR,W,CR W 26332_82046 31,31,NA,NA,NA,26.55481,-82.07687,N,Y,N,N,N,N,N,N,9/30/2023,11/1/2023,26332_82046,CR-W-26332_82046-31,Caloosahatchee River,NA
10,C023,CR,W,CR W 26340_82044 32,32,NA,NA,NA,26.56728,-82.0747,N,Y,N,N,N,N,N,N,9/30/2023,11/1/2023,26340_82044,CR-W-26340_82044-32,Caloosahatchee River,NA
11,C024,CR,W,CR W 26339_82039 33,33,NA,NA,NA,26.56548,-82.06556,N,Y,N,N,N,N,N,N,9/30/2023,11/1/2023,26339_82039,CR-W-26339_82039-33,Caloosahatchee River,NA
12,T025,TB,B,TB B 27481_82458 33,33,NA,NA,NA,27.80217,-82.76366,N,Y,N,N,N,N,N,N,10/31/2023,12/1/2023,27481_82458,TB-B-27481_82458-33,Tampa Bay,NA
13,T026,TB,B,TB B 27482_82461 34,34,NA,NA,NA,27.80391,-82.76939,N,Y,N,Y,N,N,N,N,10/31/2023,12/1/2023,27482_82461,TB-B-27482_82461-34,Tampa Bay,NA
14,0323,SS,N,SS-1,1,NA,NA,NA,29.435716,-83.264154,Y,N,N,Y,Y,Y,N,N,1/1/2022,12/31/2099,NA,SS-N-1,Suwannee Sound,NA
15,0324,SS,N,SS-2,2,NA,NA,NA,29.429816,-83.235363,Y,N,N,Y,Y,Y,N,N,1/1/2022,12/31/2099,NA,SS-N-2,Suwannee Sound,NA
