"","SampleEventWQID","SampleEventID","Temperature","Salinity","DissolvedOxygen","pH","Depth","SampleDepth","Secchi","TurbidityYSI","TurbidityHach","Comments","CollectionTime","PercentDissolvedOxygen","YSICalibration","YSINotes"
"1","TBSDTP_20230227_1_0277_1_01","TBSDTP_20230227_1_0277_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Same WQ as Dermo",NA,NA,"Y         ",NA
"2","TBSDTP_20230227_1_0278_1_01","TBSDTP_20230227_1_0278_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Same WQ as Dermo",NA,NA,"Y         ",NA
"3","TBSDTP_20230227_1_0291_1_01","TBSDTP_20230227_1_0291_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Same WQ as Dermo",NA,NA,"Y         ",NA
"4","TBSDTP_20230227_1_0527_1_01","TBSDTP_20230227_1_0527_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Same WQ as Dermo",NA,NA,"Y         ",NA
"5","TBSDTP_20230227_1_0528_1_01","TBSDTP_20230227_1_0528_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Same WQ as Dermo",NA,NA,"Y         ",NA
"6","TBSDTP_20230227_1_0529_1_01","TBSDTP_20230227_1_0529_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Same WQ as Dermo",NA,NA,"Y         ",NA
"7","CRSDTP_20230613_1_0230_1_01","CRSDTP_20230613_1_0230_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WQ same as 6/13/23 CRE RCRT",NA,NA,"Y         ",NA
"8","CRSDTP_20230613_1_0231_1_01","CRSDTP_20230613_1_0231_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WQ same as 6/13/23 CRE RCRT",NA,NA,"Y         ",NA
"9","CRSDTP_20230613_1_0232_1_01","CRSDTP_20230613_1_0232_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WQ same as 6/13/23 CRE RCRT",NA,NA,"Y         ",NA
"10","CRSDTP_20230613_1_0233_1_01","CRSDTP_20230613_1_0233_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WQ same as 6/13/23 CRE RCRT",NA,NA,"Y         ",NA
"11","TBSDTP_20230321_1_0277_1_01","TBSDTP_20230321_1_0277_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WQ same as RCRT 3/21/23",NA,NA,"Y         ",NA
"12","TBSDTP_20230321_1_0278_1_01","TBSDTP_20230321_1_0278_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WQ same as RCRT 3/21/23",NA,NA,"Y         ",NA
"13","TBSDTP_20230321_1_0291_1_01","TBSDTP_20230321_1_0291_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WQ same as RCRT3/21/23",NA,NA,"Y         ",NA
"14","TBSDTP_20230321_1_0527_1_01","TBSDTP_20230321_1_0527_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WQ same as RCRT3/21/23",NA,NA,"Y         ",NA
"15","TBSDTP_20230321_1_0528_1_01","TBSDTP_20230321_1_0528_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WQ same as RCRT3/21/23",NA,NA,"Y         ",NA
"16","TBSDTP_20230321_1_0529_1_01","TBSDTP_20230321_1_0529_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WQ same as RCRT3/21/23",NA,NA,"Y         ",NA
"17","CRSDTP_20230711_1_0230_1_01","CRSDTP_20230711_1_0230_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Same WQ as CRE 7/11/23 RCRT",NA,NA,"Y         ",NA
"18","CRSDTP_20230711_1_0231_1_01","CRSDTP_20230711_1_0231_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Same WQ as CRE 7/11/23 RCRT",NA,NA,"Y         ",NA
"19","CRSDTP_20230711_1_0232_1_01","CRSDTP_20230711_1_0232_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Same WQ as CRE 7/11/23 RCRT",NA,NA,"Y         ",NA
"20","CRSDTP_20230711_1_0233_1_01","CRSDTP_20230711_1_0233_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Same WQ as CRE 7/11/23 RCRT",NA,NA,"Y         ",NA
"21","TBWAVE_20230518_1_0277_1_01","TBWAVE_20230518_1_0277_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Same WQ as RCRT",NA,NA,"Y         ",NA
"22","TBWAVE_20230518_1_0278_1_01","TBWAVE_20230518_1_0278_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Same WQ as RCRT",NA,NA,"Y         ",NA
"23","TBWAVE_20230518_1_0291_1_01","TBWAVE_20230518_1_0291_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Same WQ as RCRT",NA,NA,"Y         ",NA
"24","TBWAVE_20230518_1_0527_1_01","TBWAVE_20230518_1_0527_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Same WQ as RCRT",NA,NA,"Y         ",NA
"25","TBWAVE_20230518_1_0528_1_01","TBWAVE_20230518_1_0528_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Same WQ as RCRT",NA,NA,"Y         ",NA
"26","TBWAVE_20230518_1_0529_1_01","TBWAVE_20230518_1_0529_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Same WQ as RCRT",NA,NA,"Y         ",NA
"27","TBWAVE_20230718_1_0277_1_01","TBWAVE_20230718_1_0277_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Same WQ as RCRT",NA,NA,"Y         ",NA
"28","TBWAVE_20230718_1_0278_1_01","TBWAVE_20230718_1_0278_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Same WQ as RCRT",NA,NA,"Y         ",NA
"29","TBWAVE_20230718_1_0291_1_01","TBWAVE_20230718_1_0291_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Same WQ as RCRT",NA,NA,"Y         ",NA
"30","CRSDTP_20230413_1_0230_1_01","CRSDTP_20230413_1_0230_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WQ same as CRE Dermo 4/13/23",NA,NA,"Y         ",NA
"31","CRSDTP_20230413_1_0231_1_01","CRSDTP_20230413_1_0231_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Same as RCRT",NA,NA,"Y         ",NA
